EquipID,EquipName,EquipType,EquipPosition,EquipSlot,EquipRank,EquipAttack,EquipAttackIncrease,EquipAttackSpeed,EquipCriticalRate,EquipMaxHP,EquipHPIncrease,EquipAccuracy,EquipPDefence,EquipPDefenceIncrease,EquipMDefence,EquipMDefenceIncrease,EquipAvoid,EquipRegistance,EquipPiece,EquipPieceNum
3000001,Sword,1,5,1,1,50,3,0.015 ,0.025,0,0,0.01,0,0,0,0,0,0,10101,30
3000002,Staff,2,7,1,1,50,1,0.025 ,0.05,0,0,0.01,0,0,0,0,0,0,10102,30
3000003,Hammer,4,1,1,1,50,2,0.000 ,0.01,0,0,0.005,0,0,0,0,0,0,10103,30
3000004,Shield,5,1,2,1,50,3,0.000 ,0.01,0,0,0.005,0,0,0,0,0,0,10104,30
3000005,Knife,6,5,2,1,50,4,0.015 ,0.025,0,0,0.01,0,0,0,0,0,0,10105,30
3000006,Wand,8,7,2,1,50,2,0.025 ,0.05,0,0,0.01,0,0,0,0,0,0,10106,30
3000007,LeatherHat,10,7,3,1,0,0,0.000 ,0,10,1,0.01,10,1,10,1,0,0.1,10107,30
3000008,LightWeightHat,11,5,3,1,0,0,0.000 ,0,15,1,0.01,15,1,15,1,0,0.15,10108,30
3000009,MetalHat,12,1,3,1,0,0,0.000 ,0,20,2,0.005,20,2,20,2,0,0.2,10109,30
3000010,LeatherArmor,14,7,4,1,0,0,0.000 ,0,10,1,0.01,10,1,10,1,0.03,0,10110,30
3000011,LightWeightArmor,15,5,4,1,0,0,0.000 ,0,15,1,0.01,15,1,15,1,0.02,0,10111,30
3000012,MetalArmor,16,1,4,1,0,0,0.000 ,0,20,2,0.005,20,2,20,2,0.01,0,10112,30
3000013,HPRing,17,1,5,1,10,1,0.000 ,0.01,40,4,0,0,0,0,0,0,0,10113,30
3000014,PAtkRing,18,5,5,1,12,3,0.015 ,0.025,30,2,0,0,0,0,0,0,0,10114,30
3000015,HPNecklace,21,1,6,1,11,11,0.000 ,0.01,40,4,0,0,0,0,0,0,0,10116,30
3000016,PAtkNecklace,22,5,6,1,13,3,0.015 ,0.025,30,2,0,0,0,0,0,0,0,10117,30
